team1,team2,gender,season,date,venue,city,toss_winner,toss_decision,winner,match_id
West Indies,England,male,2023/24,2023/12/14,"National Cricket Stadium, St George's, Grenada",St George's,England,field,West Indies,1373580
West Indies,England,male,2023/24,2023/12/16,"National Cricket Stadium, St George's, Grenada",St George's,England,field,England,1373581
England,West Indies,male,2023/24,2023/12/19,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,West Indies,field,England,1373582
England,West Indies,male,2023/24,2023/12/21,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,West Indies,field,West Indies,1373583
Australia,West Indies,male,2023/24,2024/02/09,"Bellerive Oval, Hobart",Hobart,West Indies,field,Australia,1375850
Australia,West Indies,male,2023/24,2024/02/11,Adelaide Oval,Adelaide,West Indies,field,Australia,1375851
West Indies,Australia,male,2023/24,2024/02/13,Perth Stadium,Perth,West Indies,bat,West Indies,1375852
West Indies,Australia,female,2023/24,2023/10/01,"North Sydney Oval, Sydney",Sydney,Australia,field,Australia,1375863
Australia,West Indies,female,2023/24,2023/10/02,"North Sydney Oval, Sydney",Sydney,West Indies,field,West Indies,1375864
Australia,West Indies,female,2023/24,2023/10/05,"Allan Border Field, Brisbane",Brisbane,West Indies,field,Australia,1375865
South Africa,Australia,female,2023/24,2024/01/27,"Manuka Oval, Canberra",Canberra,Australia,field,Australia,1375869
Australia,South Africa,female,2023/24,2024/01/28,"Manuka Oval, Canberra",Canberra,Australia,bat,South Africa,1375870
South Africa,Australia,female,2023/24,2024/01/30,"Bellerive Oval, Hobart",Hobart,Australia,field,Australia,1375871
Nepal,Malaysia,female,2023,2023/05/29,"YSD-UKM Cricket Oval, Bangi",Bangi,Malaysia,field,Malaysia,1376121
Malaysia,Nepal,female,2023,2023/05/30,"YSD-UKM Cricket Oval, Bangi",Bangi,Malaysia,bat,Nepal,1376122
Nepal,Malaysia,female,2023,2023/06/01,"YSD-UKM Cricket Oval, Bangi",Bangi,Malaysia,field,Nepal,1376123
Nepal,Malaysia,female,2023,2023/06/03,"YSD-UKM Cricket Oval, Bangi",Bangi,Nepal,bat,Malaysia,1376124
Malaysia,Nepal,female,2023,2023/06/04,"YSD-UKM Cricket Oval, Bangi",Bangi,Nepal,field,Nepal,1376125
Afghanistan,Bangladesh,male,2023,2023/07/14,Sylhet International Cricket Stadium,Sylhet,Bangladesh,field,Bangladesh,1377015
Afghanistan,Bangladesh,male,2023,2023/07/16,Sylhet International Cricket Stadium,Sylhet,Bangladesh,field,Bangladesh,1377016
New Zealand,United Arab Emirates,male,2023,2023/08/17,Dubai International Cricket Stadium,Dubai,United Arab Emirates,field,New Zealand,1377727
New Zealand,United Arab Emirates,male,2023,2023/08/19,Dubai International Cricket Stadium,Dubai,United Arab Emirates,field,United Arab Emirates,1377728
New Zealand,United Arab Emirates,male,2023,2023/08/20,Dubai International Cricket Stadium,Dubai,United Arab Emirates,field,New Zealand,1377729
Italy,Jersey,female,2023,2023/05/29,"Grainville, St Saviour, Jersey",St Saviour,Italy,bat,Jersey,1378006
Turkey,Sweden,female,2023,2023/05/29,"FB Fields, St Clement",St Clement,Sweden,field,Sweden,1378007
France,Italy,female,2023,2023/05/29,"Grainville, St Saviour, Jersey",St Saviour,France,bat,Italy,1378008
Jersey,Germany,female,2023,2023/05/30,"Grainville, St Saviour, Jersey",St Saviour,Germany,field,Germany,1378010
France,Sweden,female,2023,2023/05/30,"FB Fields, St Clement",St Clement,Sweden,field,France,1378011
Turkey,Jersey,female,2023,2023/05/30,"Grainville, St Saviour, Jersey",St Saviour,Jersey,field,Jersey,1378012
Germany,Italy,female,2023,2023/06/01,"Grainville, St Saviour, Jersey",St Saviour,Italy,field,Italy,1378014
France,Turkey,female,2023,2023/06/01,"FB Fields, St Clement",St Clement,Turkey,field,France,1378015
Sweden,Germany,female,2023,2023/06/01,"Grainville, St Saviour, Jersey",St Saviour,Germany,field,Germany,1378016
France,Jersey,female,2023,2023/06/01,"FB Fields, St Clement",St Clement,France,bat,France,1378017
Italy,Turkey,female,2023,2023/06/02,"Grainville, St Saviour, Jersey",St Saviour,Turkey,field,Italy,1378018
Jersey,Sweden,female,2023,2023/06/02,"FB Fields, St Clement",St Clement,Sweden,field,Jersey,1378019
France,Germany,female,2023,2023/06/02,"Grainville, St Saviour, Jersey",St Saviour,France,bat,France,1378020
Ireland,West Indies,female,2023,2023/07/04,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,West Indies,field,West Indies,1378194
Ireland,West Indies,female,2023,2023/07/06,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,Ireland,bat,West Indies,1378195
Ireland,West Indies,female,2023,2023/07/08,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,Ireland,bat,West Indies,1378196
Netherlands,Ireland,female,2023,2023/08/14,"VRA Ground, Amstelveen",Amstelveen,Ireland,field,Ireland,1378200
Ireland,Netherlands,female,2023,2023/08/16,"VRA Ground, Amstelveen",Amstelveen,Netherlands,field,Ireland,1378201
Netherlands,Ireland,female,2023,2023/08/17,"VRA Ground, Amstelveen",Amstelveen,Netherlands,bat,Ireland,1378202
Botswana,Uganda,male,2023,2023/06/17,"Gymkhana Club Ground, Nairobi",Nairobi,Botswana,bat,Uganda,1379575
Rwanda,Kenya,male,2023,2023/06/17,"Gymkhana Club Ground, Nairobi",Nairobi,Rwanda,bat,Kenya,1379576
Kenya,Uganda,male,2023,2023/06/10,"Gymkhana Club Ground, Nairobi",Nairobi,Kenya,bat,Kenya,1379577
Rwanda,Uganda,male,2023,2023/06/11,"Gymkhana Club Ground, Nairobi",Nairobi,Rwanda,bat,Uganda,1379578
Botswana,Rwanda,male,2023,2023/06/18,"Gymkhana Club Ground, Nairobi",Nairobi,Botswana,bat,Rwanda,1379579
Botswana,Kenya,male,2023,2023/06/11,"Gymkhana Club Ground, Nairobi",Nairobi,Botswana,bat,Kenya,1379580
Kenya,Uganda,male,2023,2023/06/18,"Gymkhana Club Ground, Nairobi",Nairobi,Kenya,bat,Uganda,1379581
Rwanda,Kenya,male,2023,2023/06/14,"Gymkhana Club Ground, Nairobi",Nairobi,Rwanda,bat,Kenya,1379582
Uganda,Botswana,male,2023,2023/06/14,"Gymkhana Club Ground, Nairobi",Nairobi,Uganda,bat,Uganda,1379583
Rwanda,Uganda,male,2023,2023/06/15,"Gymkhana Club Ground, Nairobi",Nairobi,Uganda,field,Uganda,1379584
Botswana,Kenya,male,2023,2023/06/19,"Gymkhana Club Ground, Nairobi",Nairobi,Botswana,bat,Kenya,1379585
Rwanda,Botswana,male,2023,2023/06/13,"Gymkhana Club Ground, Nairobi",Nairobi,Botswana,field,Rwanda,1379586
Uganda,Rwanda,male,2023,2023/06/19,"Gymkhana Club Ground, Nairobi",Nairobi,Uganda,bat,Uganda,1379587
Uganda,Kenya,male,2023,2023/06/13,"Gymkhana Club Ground, Nairobi",Nairobi,Uganda,bat,Uganda,1379589
Botswana,Kenya,male,2023,2023/06/15,"Gymkhana Club Ground, Nairobi",Nairobi,Botswana,bat,Botswana,1379590
Uganda,Kenya,male,2023,2023/06/21,"Gymkhana Club Ground, Nairobi",Nairobi,Uganda,bat,Uganda,1379592
Malaysia,United Arab Emirates,female,2023,2023/06/14,"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,United Arab Emirates,field,United Arab Emirates,1379695
Sri Lanka,New Zealand,female,2023,2023/07/08,"P Sara Oval, Colombo",Colombo,New Zealand,field,New Zealand,1379760
Sri Lanka,New Zealand,female,2023,2023/07/10,"P Sara Oval, Colombo",Colombo,New Zealand,field,New Zealand,1379761
New Zealand,Sri Lanka,female,2023,2023/07/12,"P Sara Oval, Colombo",Colombo,Sri Lanka,field,Sri Lanka,1379762
Belgium,Germany,male,2023,2023/06/10,Bayer Uerdingen Cricket Ground,Krefeld,Germany,field,Germany,1380583
Belgium,Germany,male,2023,2023/06/11,Bayer Uerdingen Cricket Ground,Krefeld,Germany,field,Germany,1380584
Hungary,Czech Republic,male,2023,2023/06/11,"Scott Page Field, Vinor",Prague,Hungary,bat,Czech Republic,1380587
West Indies,India,male,2023,2023/08/03,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,West Indies,bat,West Indies,1381217
India,West Indies,male,2023,2023/08/06,"Providence Stadium, Guyana",Providence,India,bat,West Indies,1381218
West Indies,India,male,2023,2023/08/08,"Providence Stadium, Guyana",Providence,West Indies,bat,India,1381219
West Indies,India,male,2023,2023/08/12,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,West Indies,bat,India,1381220
India,West Indies,male,2023,2023/08/13,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,India,bat,West Indies,1381221
Austria,Germany,male,2023,2023/06/29,"Sportpark Het Schootsveld, Deventer",Deventer,Germany,field,Germany,1381451
Austria,Germany,male,2023,2023/06/30,"Sportpark Het Schootsveld, Deventer",Deventer,Germany,field,Germany,1381452
Serbia,Turkey,male,2023,2023/06/23,"National Sports Academy, Sofia",Sofia,Serbia,bat,Serbia,1381453
Croatia,Bulgaria,male,2023,2023/06/23,"National Sports Academy, Sofia",Sofia,Bulgaria,field,Bulgaria,1381454
Bulgaria,Serbia,male,2023,2023/06/23,"National Sports Academy, Sofia",Sofia,Serbia,field,Serbia,1381455
Croatia,Turkey,male,2023,2023/06/24,"National Sports Academy, Sofia",Sofia,Croatia,bat,Turkey,1381456
Croatia,Serbia,male,2023,2023/06/24,"National Sports Academy, Sofia",Sofia,Croatia,bat,Serbia,1381457
Turkey,Bulgaria,male,2023,2023/06/24,"National Sports Academy, Sofia",Sofia,Bulgaria,field,Bulgaria,1381458
South Africa,Pakistan,female,2023,2023/09/01,"National Stadium, Karachi",Karachi,Pakistan,field,Pakistan,1382160
South Africa,Pakistan,female,2023,2023/09/03,"National Stadium, Karachi",Karachi,Pakistan,field,Pakistan,1382161
Pakistan,South Africa,female,2023,2023/09/04,"National Stadium, Karachi",Karachi,South Africa,field,Pakistan,1382162
Bangladesh,India,female,2023,2023/07/09,"Shere Bangla National Stadium, Mirpur",Dhaka,India,field,India,1382163
India,Bangladesh,female,2023,2023/07/11,"Shere Bangla National Stadium, Mirpur",Dhaka,India,bat,India,1382164
India,Bangladesh,female,2023,2023/07/13,"Shere Bangla National Stadium, Mirpur",Dhaka,India,bat,Bangladesh,1382165
Austria,Jersey,male,2023,2023/07/20,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Jersey,field,Jersey,1383068
Ireland,Italy,male,2023,2023/07/20,"Goldenacre, Edinburgh",Edinburgh,Italy,field,Ireland,1383069
Scotland,Germany,male,2023,2023/07/20,"Goldenacre, Edinburgh",Edinburgh,Germany,field,Scotland,1383070
Denmark,Ireland,male,2023,2023/07/21,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Denmark,bat,Ireland,1383071
Austria,Germany,male,2023,2023/07/21,"Goldenacre, Edinburgh",Edinburgh,Austria,bat,Germany,1383072
Scotland,Jersey,male,2023,2023/07/21,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Jersey,field,Scotland,1383073
Ireland,Austria,male,2023,2023/07/23,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Austria,field,Ireland,1383074
Italy,Jersey,male,2023,2023/07/23,"Goldenacre, Edinburgh",Edinburgh,Jersey,field,Italy,1383075
Denmark,Germany,male,2023,2023/07/23,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Denmark,bat,Germany,1383076
Scotland,Italy,male,2023,2023/07/24,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Italy,field,Scotland,1383077
Austria,Denmark,male,2023,2023/07/24,"Goldenacre, Edinburgh",Edinburgh,Denmark,field,Denmark,1383078
Jersey,Ireland,male,2023,2023/07/24,"Goldenacre, Edinburgh",Edinburgh,Ireland,field,Ireland,1383079
Italy,Denmark,male,2023,2023/07/25,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Denmark,field,Italy,1383080
Scotland,Austria,male,2023,2023/07/25,"Goldenacre, Edinburgh",Edinburgh,Austria,field,Scotland,1383081
Jersey,Germany,male,2023,2023/07/25,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Germany,field,Jersey,1383082
Scotland,Denmark,male,2023,2023/07/27,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Denmark,field,Scotland,1383083
Germany,Italy,male,2023,2023/07/28,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Italy,field,Italy,1383086
Jersey,Denmark,male,2023,2023/07/28,"Goldenacre, Edinburgh",Edinburgh,Denmark,field,Jersey,1383087
Scotland,Ireland,male,2023,2023/07/28,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Ireland,field,Scotland,1383088
Japan,Philippines,male,2023,2023/07/22,"Amini Park, Port Moresby",Port Moresby,Japan,bat,Japan,1383089
Vanuatu,Papua New Guinea,male,2023,2023/07/22,"Amini Park, Port Moresby",Port Moresby,Vanuatu,bat,Papua New Guinea,1383090
Japan,Vanuatu,male,2023,2023/07/23,"Amini Park, Port Moresby",Port Moresby,Vanuatu,field,Japan,1383091
Vanuatu,Philippines,male,2023,2023/07/25,"Amini Park, Port Moresby",Port Moresby,Vanuatu,bat,Philippines,1383093
Japan,Papua New Guinea,male,2023,2023/07/25,"Amini Park, Port Moresby",Port Moresby,Japan,bat,Papua New Guinea,1383094
Papua New Guinea,Vanuatu,male,2023,2023/07/26,"Amini Park, Port Moresby",Port Moresby,Papua New Guinea,bat,Papua New Guinea,1383095
Japan,Philippines,male,2023,2023/07/26,"Amini Park, Port Moresby",Port Moresby,Japan,bat,Japan,1383096
Japan,Vanuatu,male,2023,2023/07/28,"Amini Park, Port Moresby",Port Moresby,Vanuatu,field,Vanuatu,1383097
Papua New Guinea,Philippines,male,2023,2023/07/28,"Amini Park, Port Moresby",Port Moresby,Philippines,field,Papua New Guinea,1383098
Philippines,Vanuatu,male,2023,2023/07/29,"Amini Park, Port Moresby",Port Moresby,Philippines,bat,Vanuatu,1383099
Japan,Papua New Guinea,male,2023,2023/07/29,"Amini Park, Port Moresby",Port Moresby,Japan,bat,Papua New Guinea,1383100
China,Malaysia,male,2023,2023/07/26,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,China,bat,Malaysia,1383101
Bhutan,Myanmar,male,2023,2023/07/26,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,Bhutan,bat,Bhutan,1383102
China,Thailand,male,2023,2023/07/27,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,Thailand,field,Thailand,1383103
Malaysia,Bhutan,male,2023,2023/07/27,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,Bhutan,field,Malaysia,1383104
Thailand,Myanmar,male,2023,2023/07/28,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,Myanmar,field,Thailand,1383105
Bhutan,China,male,2023,2023/07/30,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,Bhutan,bat,Bhutan,1383106
Malaysia,Myanmar,male,2023,2023/07/30,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,Myanmar,field,Malaysia,1383107
Bhutan,Thailand,male,2023,2023/07/31,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,Thailand,field,Thailand,1383108
Myanmar,China,male,2023,2023/07/31,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,China,field,China,1383109
Thailand,Malaysia,male,2023,2023/08/01,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,Malaysia,field,Malaysia,1383110
Scotland,Thailand,female,2023,2023/07/10,"Sportpark Maarschalkerweerd, Utrecht",Utrecht,Thailand,field,Thailand,1384545
Thailand,Netherlands,female,2023,2023/07/11,"Sportpark Maarschalkerweerd, Utrecht",Utrecht,Netherlands,field,Netherlands,1384546
Scotland,Netherlands,female,2023,2023/07/12,"Sportpark Maarschalkerweerd, Utrecht",Utrecht,Netherlands,field,Scotland,1384547
Thailand,Scotland,female,2023,2023/07/13,"Sportpark Maarschalkerweerd, Utrecht",Utrecht,Scotland,field,Scotland,1384548
Netherlands,Thailand,female,2023,2023/07/14,"Sportpark Maarschalkerweerd, Utrecht",Utrecht,Thailand,field,Thailand,1384549
Scotland,Netherlands,female,2023,2023/07/15,"Sportpark Maarschalkerweerd, Utrecht",Utrecht,Netherlands,field,Netherlands,1384550
France,Malta,male,2023,2023/07/10,Marsa Sports Club,Marsa,Malta,field,France,1384582
Malta,France,male,2023,2023/07/10,Marsa Sports Club,Marsa,Malta,bat,Malta,1384583
Malta,Luxembourg,male,2023,2023/07/11,Marsa Sports Club,Marsa,Luxembourg,field,Malta,1384584
France,Luxembourg,male,2023,2023/07/11,Marsa Sports Club,Marsa,France,bat,France,1384585
Malta,Luxembourg,male,2023,2023/07/12,Marsa Sports Club,Marsa,Malta,bat,Luxembourg,1384586
Luxembourg,France,male,2023,2023/07/12,Marsa Sports Club,Marsa,Luxembourg,bat,France,1384587
France,Malta,male,2023,2023/07/12,Marsa Sports Club,Marsa,France,bat,France,1384588
Luxembourg,Malta,male,2023,2023/07/13,Marsa Sports Club,Marsa,Malta,field,Malta,1384589
Romania,Switzerland,male,2023,2023/07/13,Marsa Sports Club,Marsa,Switzerland,field,Switzerland,1384590
France,Romania,male,2023,2023/07/13,Marsa Sports Club,Marsa,France,bat,France,1384591
Luxembourg,Switzerland,male,2023,2023/07/14,Marsa Sports Club,Marsa,Switzerland,field,Switzerland,1384592
Malta,Romania,male,2023,2023/07/14,Marsa Sports Club,Marsa,Malta,bat,Malta,1384593
France,Switzerland,male,2023,2023/07/14,Marsa Sports Club,Marsa,France,bat,Switzerland,1384594
Romania,Luxembourg,male,2023,2023/07/15,Marsa Sports Club,Marsa,Romania,bat,Luxembourg,1384595
Malta,Switzerland,male,2023,2023/07/15,Marsa Sports Club,Marsa,Switzerland,field,Switzerland,1384596
France,Luxembourg,male,2023,2023/07/15,Marsa Sports Club,Marsa,France,bat,Luxembourg,1384597
France,Malta,male,2023,2023/07/16,Marsa Sports Club,Marsa,France,bat,Malta,1384598
Luxembourg,Romania,male,2023,2023/07/16,Marsa Sports Club,Marsa,Romania,field,Romania,1384599
Malta,Switzerland,male,2023,2023/07/16,Marsa Sports Club,Marsa,Malta,bat,Switzerland,1384600
Ireland,India,male,2023,2023/08/18,"Malahide, Dublin",Dublin,India,field,India,1384634
India,Ireland,male,2023,2023/08/20,"Malahide, Dublin",Dublin,Ireland,field,India,1384637
England,Pakistan,male,2024,2024/05/25,"Edgbaston, Birmingham",Birmingham,Pakistan,field,England,1385688
Pakistan,England,male,2024,2024/05/30,"Kennington Oval, London",London,England,field,England,1385690
Australia,England,male,2024,2024/09/11,"The Rose Bowl, Southampton",Southampton,England,field,Australia,1385697
Australia,England,male,2024,2024/09/13,"Sophia Gardens, Cardiff",Cardiff,England,field,England,1385698
Guernsey,Germany,male,2023,2023/08/14,"Sportpark Het Schootsveld, Deventer",Deventer,Germany,field,Germany,1387243
Germany,Guernsey,male,2023,2023/08/14,"Sportpark Het Schootsveld, Deventer",Deventer,Germany,bat,Guernsey,1387244
Guernsey,Germany,male,2023,2023/08/15,"Sportpark Het Schootsveld, Deventer",Deventer,Guernsey,bat,Guernsey,1387245
India,South Africa,male,2023/24,2023/12/12,"St George's Park, Gqeberha",Gqeberha,South Africa,field,South Africa,1387598
India,South Africa,male,2023/24,2023/12/14,"The Wanderers Stadium, Johannesburg",Johannesburg,South Africa,field,India,1387599
Greece,Isle of Man,female,2023,2023/08/04,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Isle of Man,field,Isle of Man,1387944
Malta,Greece,female,2023,2023/08/04,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Greece,field,Greece,1387945
Romania,Isle of Man,female,2023,2023/08/04,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Isle of Man,field,Isle of Man,1387946
Greece,Romania,female,2023,2023/08/05,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Romania,field,Greece,1387947
Malta,Isle of Man,female,2023,2023/08/05,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Isle of Man,field,Isle of Man,1387948
Romania,Malta,female,2023,2023/08/05,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Romania,bat,Romania,1387949
Greece,Isle of Man,female,2023,2023/08/06,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Isle of Man,field,Isle of Man,1387951
New Zealand,Pakistan,female,2023/24,2023/12/03,"University Oval, Dunedin",Dunedin,New Zealand,bat,Pakistan,1388196
Pakistan,New Zealand,female,2023/24,2023/12/05,"University Oval, Dunedin",Dunedin,New Zealand,field,Pakistan,1388197
Pakistan,New Zealand,female,2023/24,2023/12/09,"John Davies Oval, Queenstown",Queenstown,New Zealand,field,New Zealand,1388198
England,New Zealand,female,2023/24,2024/03/19,"University Oval, Dunedin",Dunedin,New Zealand,field,England,1388202
England,New Zealand,female,2023/24,2024/03/22,"Saxton Oval, Nelson",Nelson,New Zealand,field,England,1388203
New Zealand,England,female,2023/24,2024/03/24,"Saxton Oval, Nelson",Nelson,New Zealand,bat,New Zealand,1388204
England,New Zealand,female,2023/24,2024/03/27,"Basin Reserve, Wellington",Wellington,New Zealand,field,England,1388205
New Zealand,England,female,2023/24,2024/03/29,"Basin Reserve, Wellington",Wellington,New Zealand,bat,England,1388206
New Zealand,Bangladesh,male,2023/24,2023/12/27,"McLean Park, Napier",Napier,Bangladesh,field,Bangladesh,1388213
Bangladesh,New Zealand,male,2023/24,2023/12/31,"Bay Oval, Mount Maunganui",Mount Maunganui,New Zealand,field,New Zealand,1388215
New Zealand,Pakistan,male,2023/24,2024/01/12,"Eden Park, Auckland",Auckland,Pakistan,field,New Zealand,1388216
New Zealand,Pakistan,male,2023/24,2024/01/14,"Seddon Park, Hamilton",Hamilton,Pakistan,field,New Zealand,1388217
New Zealand,Pakistan,male,2023/24,2024/01/17,"University Oval, Dunedin",Dunedin,Pakistan,field,New Zealand,1388218
